x,y
1.836207,-3.965517
1.536732,-4
-3.020989,0.467766
-1.206897,0.9925038
-0.6971514,1.037481
-0.8170916,0.8425788
-0.5022489,1.127437
-1.956522,0.6026987
0.1724139,0.3928036
-1.056972,0.587706
-1.236882,0.527736
-1.206897,0.497751
-0.4422791,0.6026987
-0.3673164,0.527736
-1.041979,0.3928036
-0.352324,0.6476761
-0.1574211,0.6626687
-1.461769,0.3478259
-1.026986,1.022489
-0.9820089,1.022489
-1.746627,0.3478259
-1.791604,0.7376311
-2.451274,0.5127437
-2.796102,0.3928036
-2.796102,0.3928036
-2.796102,0.407796
-2.736132,0.9475262
-2.556222,1.232384
-2.586207,0.467766
-2.451274,0.8125938
-2.256372,1.127437
-0.8320839,0.9625188
-1.056972,1.247377
-2.436282,0.7976011
-1.761619,1.052474
-1.206897,1.232384
-2.166417,0.7676161
-1.086956,1.517241
-4.730135,1.292354
-4.565217,2.191904
-4.010494,3.496252
-3.695652,3.766117
-4.175412,3.016492
-5.509745,1.217391
-5.554723,0.7376311
-5.464767,0.6626687
-4.790105,2.551724
-3.680659,4.425787
-3.935532,3.706147
-5.524737,1.637181
-6.004498,0.4527736
-6.094453,-0.1619189
-6.034482,0.4827586
-5.794602,2.281859
-4.985008,3.586207
-3.410795,4.530735
-2.151424,4.950525
-2.196402,4.965517
-2.271364,4.965517
-0.8770615,4.680659
0.5472265,3.586207
0.7571213,2.701649
1.026986,1.877061
1.026986,1.877061
1.026986,1.862069
1.296852,1.022489
1.296852,0.9775112
0.5622188,2.356822
0.09745122,3.196402
-0.2923537,3.631185
-1.161919,4.095952
-1.161919,4.095952
-1.401799,4.185907
-3.050975,4.185907
-4.355322,2.926537
-4.910045,2.386806
-4.895052,2.371814
-4.835082,2.371814
-4.190404,2.94153
-2.556222,4.8006
-2.046477,4.965517
-1.896552,4.98051
-1.896552,4.830585
-0.5022489,4.365817
-0.3973016,3.871065
-2.406297,4.290854
-3.335832,4.275862
-3.335832,4.290854
-1.266866,4.590705
-1.431784,4.470765
-2.361319,4.515742
-3.74063,4.020989
-4.265367,3.511244
-3.74063,3.676162
-1.416792,4.44078
-1.191904,4.290854
-1.206897,4.290854
-2.706147,4.590705
-2.916042,4.230885
-1.716642,4.50075
-1.761619,4.425787
-2.346327,4.275862
-1.716642,4.50075
-3.695652,4.110945
-4.490255,3.706147
-4.985008,3.316342
-4.985008,3.316342
-3.785607,3.931035
-3.605697,4.080959
-3.785607,3.826087
-4.610195,2.806597
-5.944528,1.082459
-6.25937,0.4527736
-5.71964,1.592204
-5.47976,2.356822
-4.565217,3.736132
-3.950525,4.44078
-4.025487,4.050975
-5.884558,1.382309
-6.394303,0.1979012
-6.304348,0.1229385
-5.209895,2.191904
-4.745127,3.196402
-4.22039,3.676162
-5.224887,1.412294
-5.944528,0.0929535
-6.274363,-0.521739
-5.71964,0.377811
-4.58021,2.356822
-4.415292,3.316342
-5.389805,0.8575711
-6.169415,-1.286357
-6.409295,-1.796102
-6.01949,-0.01199389
-5.83958,2.176912
-4.790105,2.971514
-5.65967,0.6926537
-6.31934,-0.7316341
-5.524737,0.8125938
-4.910045,2.476762
-3.365817,4.290854
-1.866567,4.935532
-1.881559,4.890555
-1.761619,4.515742
0.3823087,3.556222
1.326836,2.146926
1.611694,1.352324
1.611694,1.352324
1.626687,1.352324
2.826087,-0.1169416
3.095952,-0.5667167
1.821589,0.7376311
0.6821585,2.281859
0.6821585,2.281859
0.6821585,2.251874
2.211394,1.007496
2.406297,0.7376311
2.406297,0.7376311
2.496252,0.4227886
3.005996,-0.5367317
2.646177,-0.1469266
1.446777,1.382309
1.311844,1.622189
1.146926,1.817091
1.881559,0.7676161
2.511244,0.002998471
2.136432,0.407796
1.311844,1.667167
1.506746,1.952024
2.196402,0.7976011
2.346327,0.437781
1.701649,1.232384
0.4272867,3.0015
0.06746653,4.335833
1.296852,2.536732
1.656672,1.922039
0.8470763,2.836582
-0.4272862,4.065967
-0.4272862,4.065967
-1.386807,4.725637
-2.916042,4.815592
-2.916042,4.815592
-2.946027,4.770615
-5.23988,2.491754
-5.29985,2.236882
-5.569715,1.637181
-5.269865,2.236882
-2.931034,4.710645
-1.056972,4.875562
-0.3823087,4.695652
-0.3823087,4.695652
-0.3223388,4.470765
1.551724,2.806597
2.48126,1.877061
2.48126,1.877061
3.545727,-0.1469266
3.695652,-0.8815591
3.275862,-0.2668667
2.646177,1.412294
2.976012,0.557721
3.425787,0.01799113
3.410795,1.112444
3.515742,1.217391
3.515742,1.217391
3.515742,1.217391
3.425787,1.202399
3.260869,0.9475262
3.110945,0.6926537
3.110945,1.127437
3.110945,0.9475262
3.050975,0.7376311
5.05997,3.856072
4.94003,3.421289
5.599699,3.511244
5.014992,3.856072
5.41979,3.316342
5.494752,3.586207
4.985008,3.886057
5.494752,3.256372
5.524738,3.781109
4.970016,3.676162
5.434783,3.826087
5.329834,3.796102
5.224887,3.601199
5.434783,3.781109
5.239881,3.496252
5.434783,3.511244
5.074963,3.676162
5.449775,3.301349
3.245877,4.470765
3.710644,4.830585
4.205397,5.10045
5.05997,5.115442
5.854572,5.010495
6.55922,4.785607
6.7991,4.50075
6.874063,3.736132
6.49925,2.851574
5.83958,2.356822
5.29985,2.101949
5.224887,2.056972
5.374813,2.146926
6.1994,2.566716
6.769115,2.986506
7.03898,3.541229
6.97901,4.380809
6.55922,4.770615
5.584707,5.265368
4.925037,5.295352
4.28036,5.025487
3.560719,4.695652
3.575712,4.695652
4.625187,5.085457
5.794602,5.370315
5.95952,5.310345
6.769115,4.92054
6.85907,4.875562
6.169415,5.160419
6.034482,5.205398
5.77961,5.265368
6.364318,5.010495
6.514243,4.92054
6.169415,5.115442
6.01949,5.130435
6.424287,4.995502
6.529235,5.010495
5.854572,5.190405
5.599699,5.205398
5.209895,5.22039
4.88006,5.22039
4.4003,5.145427
4.190404,5.130435
3.68066,5.04048
3.62069,4.995502
5.194902,5.10045
6.634183,4.875562
6.889055,4.74063
7.263867,4.020989
7.083958,3.391304
6.829086,3.136432
6.964018,3.781109
7.03898,4.140929
7.113943,4.320839
7.143928,4.350825
7.143928,3.841079
6.664168,3.376312
6.334332,3.091454
5.704648,2.641679
5.554723,2.551724
5.329834,2.371814
5.314842,2.326836
5.314842,2.296852
5.65967,2.416792
6.31934,2.866567
6.934033,3.286357
6.949026,3.301349
6.574213,3.0015
6.13943,2.716642
5.809596,2.476762
5.854572,2.596702
6.514243,3.031484
6.514243,3.031484
6.304348,2.836582
-0.1724139,-2.305847
-0.02248852,-2.425787
1.251873,-2.74063
2.541229,-2.770615
3.515742,-2.470765
4.505248,-1.991004
4.835082,-1.706147
4.835082,-1.706147
4.805098,-1.691154
5.449775,-1.226387
5.974512,-0.5817091
6.289355,-0.221889
6.289355,-0.221889
5.989506,-0.7766118
4.655172,-2.140929
3.230885,-2.785607
3.170914,-2.785607
3.170914,-2.785607
2.781109,-2.875562
0.8320839,-3.145427
-0.1424287,-2.995502
-0.5622188,-2.695652
-0.2923537,-2.8006
1.161919,-3.175412
3.785607,-2.8006
